Time,Data,Average,SD

 17:16:06   ,26,0,0
 17:16:07   ,26.03,0,0
 17:16:08   ,26.57,0,0
 17:16:09   ,27.86,0,0
 17:16:10   ,29.25,0,0
 17:16:11   ,30.38,0,0
 17:16:12   ,30.72,0,0
 17:16:13   ,30.55,0,0
 17:16:14   ,29.88,0,0
 17:16:15   ,28.39,0,0
 17:16:16   ,27.93,28.52,1.79
 17:16:17   ,27.79,28.74,1.59
 17:16:18   ,29.18,29.07,1.3
 17:16:19   ,29.87,29.26,1.12
 17:16:20   ,28.98,29.3,1.01
 17:16:21   ,28.09,29.28,1.09
 17:16:22   ,27.6,29.09,1.09
 17:16:23   ,28.14,28.88,0.91
 17:16:24   ,29.16,28.69,0.8
 17:16:25   ,29.86,28.58,0.79
 17:16:26   ,30.5,28.72,0.92
 17:16:27   ,29.68,28.84,0.82
 17:16:28   ,29.49,29.09,0.87
 17:16:29   ,28.63,29.05,0.89
 17:16:30   ,28.56,29.01,0.86
 17:16:31   ,29.41,29.06,0.87
 17:16:32   ,28.94,29.06,0.82
 17:16:33   ,29.44,29.29,0.66
 17:16:34   ,28.03,29.23,0.68
 17:16:35   ,27.51,29.2,0.79
 17:16:36   ,26.2,28.89,1.11
